lake,date,value,NDVI_mean,NDWI_mean
Amatitlan,2025-02-07,11.203302383422852,-0.2746899127960205,0.6230916380882263
Amatitlan,2025-02-27,3.8007848262786865,0.07425504177808762,0.20930339395999908
Amatitlan,2025-03-04,11.456603050231934,0.24379763007164001,0.1384361982345581
Amatitlan,2025-03-09,3.056588888168335,0.13429683446884155,0.1523662954568863
Amatitlan,2025-03-14,3.170398235321045,0.1593494713306427,0.2363930642604828
Amatitlan,2025-03-19,6.745529651641846,0.17128999531269073,0.19762878119945526
Amatitlan,2025-03-24,8.953239440917969,0.1860504299402237,0.24004101753234863
Amatitlan,2025-03-26,6.201072692871094,-0.08621964603662491,0.33398738503456116
Amatitlan,2025-04-13,4.400691509246826,-0.06798762828111649,0.2680604159832001
Amatitlan,2025-04-15,4.452459812164307,-0.09366936981678009,0.2862578332424164
Amatitlan,2025-04-18,4.697610855102539,-0.0852200835943222,0.2783754765987396
Amatitlan,2025-04-28,4.72390079498291,-0.041068919003009796,0.2760305106639862
Amatitlan,2025-05-03,4.821749687194824,-0.04692189767956734,0.2867894768714905
Amatitlan,2025-05-13,5.2158637046813965,0.07956533133983612,0.21365386247634888
Amatitlan,2025-05-28,4.929858207702637,-0.20008178055286407,0.40096282958984375
Amatitlan,2025-07-17,6.38699197769165,-0.13359969854354858,0.34203261137008667
Amatitlan,2025-07-24,7.101434707641602,-0.14993324875831604,0.38213205337524414
Amatitlan,2025-08-01,5.373231887817383,-0.14912651479244232,0.3480488061904907
Atitlan,2025-02-07,36271.015625,0.44362765550613403,1.0067881345748901
Atitlan,2025-02-10,3.9839372634887695,-0.1268540620803833,0.42799627780914307
Atitlan,2025-02-25,6.331531047821045,0.30195310711860657,0.5960278511047363
Atitlan,2025-02-27,2.717984199523926,-0.14327579736709595,0.40444719791412354
Atitlan,2025-03-02,7102.61669921875,0.26406630873680115,0.7326352596282959
Atitlan,2025-03-04,2.802842617034912,-0.025251924991607666,0.32828980684280396
Atitlan,2025-03-07,21855.1171875,0.5988848209381104,1.1144837141036987
Atitlan,2025-03-09,2.4304051399230957,-0.13493546843528748,0.4292324185371399
Atitlan,2025-03-12,3.407362461090088,-0.015223362483084202,0.19173681735992432
Atitlan,2025-03-14,2.5405404567718506,-0.10734370350837708,0.46031561493873596
Atitlan,2025-03-19,3.1449785232543945,-0.11449763923883438,0.31599780917167664
Atitlan,2025-03-22,4749.80419921875,0.4277653992176056,0.993721604347229
Atitlan,2025-03-24,2.589770793914795,-0.142202228307724,0.4636401832103729
Atitlan,2025-03-26,2.578004837036133,-0.037007179111242294,0.3141865134239197
Atitlan,2025-04-11,3.7872567176818848,0.002005266724154353,0.06423544138669968
Atitlan,2025-04-13,2.7775180339813232,-0.04673149064183235,0.3650277554988861
Atitlan,2025-04-15,2.562105894088745,-0.13190501928329468,0.525462806224823
Atitlan,2025-04-16,0.08315541595220566,0.012782691046595573,0.08531542122364044
Atitlan,2025-04-18,20.05365753173828,-0.13256441056728363,0.5179387927055359
Atitlan,2025-04-28,10.874944686889648,-0.07721049338579178,0.42572489380836487
Atitlan,2025-05-03,3.481443405151367,-0.13335740566253662,0.32835546135902405
Atitlan,2025-05-13,2.845959186553955,-0.06867773830890656,0.39375489950180054
Atitlan,2025-05-28,3.7219791412353516,-0.018316052854061127,0.17970789968967438
Atitlan,2025-07-10,3.041938543319702,0.09439262002706528,0.2043277472257614
Atitlan,2025-07-17,260.880615234375,0.23378024995326996,0.45613181591033936
Atitlan,2025-07-20,0.0,0.04477464780211449,0.06669867783784866
Atitlan,2025-07-24,1438.1248779296875,0.026271777227520943,0.5794852375984192
Atitlan,2025-08-01,585.02783203125,0.04520257189869881,0.31064045429229736
