date,value,NDVI_mean,NDWI_mean
2025-02-07,36271.015625,0.44362765550613403,1.0067881345748901
2025-02-10,3.9839372634887695,-0.1268540620803833,0.42799627780914307
2025-02-25,6.331531047821045,0.30195310711860657,0.5960278511047363
2025-02-27,2.717984199523926,-0.14327579736709595,0.40444719791412354
2025-03-02,7102.61669921875,0.26406630873680115,0.7326352596282959
2025-03-04,2.802842617034912,-0.025251924991607666,0.32828980684280396
2025-03-07,21855.1171875,0.5988848209381104,1.1144837141036987
2025-03-09,2.4304051399230957,-0.13493546843528748,0.4292324185371399
2025-03-12,3.407362461090088,-0.015223362483084202,0.19173681735992432
2025-03-14,2.5405404567718506,-0.10734370350837708,0.46031561493873596
2025-03-19,3.1449785232543945,-0.11449763923883438,0.31599780917167664
2025-03-22,4749.80419921875,0.4277653992176056,0.993721604347229
2025-03-24,2.589770793914795,-0.142202228307724,0.4636401832103729
2025-03-26,2.578004837036133,-0.037007179111242294,0.3141865134239197
2025-04-11,3.7872567176818848,0.002005266724154353,0.06423544138669968
2025-04-13,2.7775180339813232,-0.04673149064183235,0.3650277554988861
2025-04-15,2.562105894088745,-0.13190501928329468,0.525462806224823
2025-04-16,0.08315541595220566,0.012782691046595573,0.08531542122364044
2025-04-18,20.05365753173828,-0.13256441056728363,0.5179387927055359
2025-04-28,10.874944686889648,-0.07721049338579178,0.42572489380836487
2025-05-03,3.481443405151367,-0.13335740566253662,0.32835546135902405
2025-05-13,2.845959186553955,-0.06867773830890656,0.39375489950180054
2025-05-28,3.7219791412353516,-0.018316052854061127,0.17970789968967438
2025-07-10,3.041938543319702,0.09439262002706528,0.2043277472257614
2025-07-17,260.880615234375,0.23378024995326996,0.45613181591033936
2025-07-20,0.0,0.04477464780211449,0.06669867783784866
2025-07-24,1438.1248779296875,0.026271777227520943,0.5794852375984192
2025-08-01,585.02783203125,0.04520257189869881,0.31064045429229736
