date,value
2025-02-07,11.054010391235352
2025-02-27,3.51546049118042
2025-03-04,11.048657417297363
2025-03-09,-1.1283165216445923
2025-03-14,0.5270146727561951
2025-03-19,5.796537399291992
2025-03-24,4.357610702514648
2025-03-26,4.974118709564209
2025-04-13,4.365645885467529
2025-04-15,4.426098346710205
2025-04-18,4.660178184509277
2025-04-28,4.675951957702637
2025-05-03,4.167494297027588
2025-05-13,4.5213303565979
2025-05-28,4.7013468742370605
2025-07-17,6.204948902130127
2025-07-24,6.9846930503845215
2025-08-01,5.265064716339111
