,value,NDVI_mean,NDWI_mean
count,18.0,18.0,18.0
mean,5.9272951285044355,-0.015550775867369415,0.2896439805626869
std,2.4345536655877336,0.15036181834958462,0.11081358092170593
min,3.056588888168335,-0.2746899127960205,0.1384361982345581
25%,4.513747572898865,-0.12361711636185638,0.2193386629223823
50%,5.072860956192017,-0.057454762980341856,0.2772029936313629
75%,6.655895233154297,0.12061395868659015,0.34002130478620524
max,11.456603050231934,0.24379763007164,0.6230916380882263
