,value,NDVI_mean,NDWI_mean
count,28.0,28.0,28.0
mean,2583.8694411439023,0.03714832642747622,0.43865380382963587
std,7892.286623023557,0.20157357690575928,0.26530434986144485
min,0.0,-0.1432757973670959,0.0642354413866996
25%,2.685930848121643,-0.11758674494922156,0.3132999986410141
50%,3.4444029331207275,-0.021783988922834348,0.41508604586124415
75%,80.26039695739746,0.0575000839307904,0.5198197960853577
max,36271.015625,0.5988848209381104,1.1144837141036987
